attendance,study_hours,previous_marks,assignment_score,internal_marks,previous_gpa,participation,backlogs,composite_score,performance
52.0,0.5,71.8,94.0,62.5,7.04,10,1,60.1,Average
95.0,6.6,79.7,72.2,94.0,6.84,6,0,78.1,Good
74.4,3.3,37.7,53.9,65.7,5.35,5,0,54.5,Average
93.3,4.3,73.0,66.7,40.1,8.2,5,0,66.7,Good
53.7,3.7,49.0,51.7,69.0,6.19,7,2,50.2,Average
67.6,3.1,61.6,57.1,68.7,6.96,8,0,62.7,Average
76.1,2.9,76.5,79.8,89.2,9.17,4,2,64.3,Average
76.7,4.3,69.5,56.4,70.2,7.81,10,0,66.2,Good
69.7,1.4,54.4,90.7,63.3,4.82,7,1,47.5,Poor
84.7,5.0,68.1,72.9,86.7,4.62,7,0,72.8,Good
61.1,3.1,43.5,75.3,71.9,7.01,6,0,59.5,Average
74.0,2.0,86.4,69.8,58.0,5.4,7,0,58.2,Average
77.7,3.1,64.7,85.6,88.5,8.01,6,1,62.2,Average
83.2,5.8,85.9,85.7,73.1,7.16,9,1,76.4,Good
86.0,2.9,59.6,79.0,70.0,7.33,6,1,63.5,Average
60.3,4.4,59.6,82.5,72.8,6.11,8,0,61.3,Average
54.5,2.6,55.8,70.8,52.9,9.54,6,0,54.5,Average
93.9,5.0,82.0,82.1,61.6,10.0,7,0,72.0,Good
80.7,4.9,56.6,68.9,70.1,6.71,5,0,70.9,Good
65.5,6.8,78.3,74.0,66.9,7.59,9,0,69.3,Good
97.7,3.5,61.9,69.9,90.4,7.24,5,3,61.7,Average
77.6,4.9,36.4,67.1,73.5,6.74,6,1,57.6,Average
92.5,4.0,58.9,63.7,83.7,5.94,6,1,69.0,Good
76.9,5.9,49.1,81.0,70.2,5.58,6,1,60.0,Average
100.0,2.6,68.5,93.7,86.9,5.51,8,1,70.8,Good
100.0,5.0,49.0,91.6,76.4,7.67,6,0,67.8,Good
72.5,3.5,82.8,55.2,70.2,6.37,9,1,56.2,Average
89.6,3.7,66.5,93.3,69.8,3.49,5,2,62.6,Average
85.0,3.9,65.2,69.2,54.7,7.72,7,0,59.9,Average
95.2,4.2,78.5,83.0,78.1,7.05,5,0,75.2,Good
62.5,3.6,83.4,60.4,69.4,8.99,7,2,62.7,Average
85.6,4.1,67.7,76.1,62.0,7.62,6,1,67.4,Good
90.8,6.3,55.7,78.7,87.7,5.03,6,0,71.4,Good
51.4,5.4,39.6,51.7,50.0,3.98,9,2,37.6,Poor
59.4,5.2,57.0,83.1,63.2,6.09,5,1,60.6,Average
47.5,3.1,58.1,94.2,86.4,6.22,8,1,64.0,Average
72.2,2.4,69.7,71.4,75.0,8.42,5,0,62.7,Average
86.0,5.3,62.5,94.4,69.2,7.09,7,0,70.9,Good
97.0,5.2,79.0,71.2,74.0,8.69,4,1,71.1,Good
77.0,6.2,58.2,86.7,72.9,5.25,5,2,63.9,Average
98.8,2.8,67.1,40.7,45.7,8.45,6,1,62.3,Average
56.7,3.4,86.9,100.0,64.4,8.11,10,0,67.3,Good
52.2,1.2,73.5,96.4,95.9,4.27,7,2,50.7,Average
75.2,3.2,67.0,69.7,59.5,8.95,10,0,74.4,Good
81.4,5.4,58.4,44.4,64.9,7.23,7,1,59.9,Average
75.5,3.1,57.9,78.3,61.3,7.65,6,2,55.8,Average
47.1,4.8,54.4,52.3,68.6,5.89,10,1,51.0,Average
74.8,3.5,59.3,80.7,60.7,8.89,7,0,67.2,Good
57.7,4.3,80.1,80.2,77.8,5.44,5,0,70.6,Good
85.4,2.0,64.4,59.9,73.2,8.26,7,1,61.6,Average
81.1,3.9,46.4,90.8,82.4,8.25,6,2,66.8,Good
62.8,0.5,96.3,86.1,53.2,5.74,3,3,47.9,Poor
68.8,3.5,73.1,88.6,64.6,9.88,8,1,65.4,Good
61.2,1.2,45.5,74.1,66.4,7.42,9,2,47.9,Poor
75.1,5.7,60.9,52.8,77.3,8.02,10,1,67.0,Good
89.4,5.0,69.8,88.7,57.3,4.96,7,2,63.8,Average
62.2,4.5,95.3,69.9,84.7,10.0,6,0,71.1,Good
83.1,6.2,50.3,53.2,89.0,5.39,8,2,61.7,Average
68.6,2.3,83.6,94.3,54.2,8.53,8,0,67.0,Good
64.9,6.6,90.4,100.0,62.1,5.71,10,1,71.8,Good
74.5,5.3,57.9,73.4,61.5,6.23,6,0,65.2,Good
61.5,3.4,63.6,100.0,100.0,8.2,6,1,64.3,Average
68.2,5.6,51.4,75.4,63.1,8.54,5,2,53.0,Average
59.2,2.0,64.7,68.3,96.8,5.32,8,4,37.2,Poor
100.0,2.5,67.4,64.5,49.7,8.63,3,1,66.7,Good
76.5,2.8,78.6,98.6,54.2,8.56,8,0,72.3,Good
66.2,3.0,85.4,62.3,59.0,5.79,8,0,63.3,Average
79.0,2.1,56.0,85.0,56.5,9.34,8,1,57.3,Average
74.4,5.8,36.5,65.6,65.7,5.06,7,0,50.3,Average
72.9,3.4,67.7,67.1,58.7,6.23,10,0,61.1,Average
84.6,4.4,72.7,89.5,56.9,7.77,8,0,74.8,Good
86.6,2.9,72.0,68.3,88.5,5.91,5,1,68.4,Good
68.6,0.9,62.8,67.9,89.6,7.47,5,2,55.3,Average
67.9,4.2,70.0,91.0,85.2,7.44,5,2,63.8,Average
72.1,0.7,92.2,98.0,78.4,6.84,8,0,75.5,Good
43.8,3.7,74.1,83.7,71.5,8.27,4,0,62.3,Average
54.8,1.6,62.0,64.2,62.0,6.78,9,0,59.3,Average
95.1,7.0,60.0,66.3,54.7,7.42,9,0,71.6,Good
99.0,5.3,65.3,75.2,75.8,8.71,5,0,72.7,Good
72.5,4.0,94.2,78.8,51.2,8.21,6,0,67.4,Good
84.1,5.8,65.1,59.2,54.1,8.2,7,1,60.6,Average
80.4,2.4,67.7,84.8,88.4,5.49,8,1,67.4,Good
100.0,4.7,60.3,75.3,100.0,7.83,10,1,72.3,Good
91.7,4.1,85.6,48.3,76.3,5.87,3,0,66.1,Good
74.2,4.2,99.0,60.1,87.7,5.31,6,0,76.1,Good
62.6,5.8,75.2,66.4,66.1,7.0,6,1,65.0,Good
53.5,5.0,69.3,72.9,48.6,5.83,4,0,63.0,Average
78.8,4.3,68.6,100.0,79.8,8.21,6,0,76.5,Good
65.4,1.2,29.9,77.6,79.1,8.24,7,1,48.2,Poor
56.1,2.3,79.9,61.4,71.1,4.44,6,0,59.3,Average
66.9,3.6,70.1,77.3,66.1,5.94,3,1,59.4,Average
60.9,3.9,74.9,68.7,85.4,5.06,10,0,64.1,Average
99.6,2.0,56.6,78.9,54.2,6.45,7,1,55.9,Average
88.3,7.7,61.8,82.7,57.6,7.74,7,0,73.2,Good
75.9,6.2,61.4,92.1,53.9,6.76,4,1,72.0,Good
96.7,4.8,84.3,73.6,71.4,6.27,7,0,75.0,Good
77.1,3.9,61.9,98.6,52.6,8.92,6,1,68.5,Good
63.9,3.5,99.0,87.6,59.1,3.87,3,0,65.5,Good
97.3,2.3,74.9,63.4,58.7,8.83,4,0,70.3,Good
83.5,3.9,47.6,100.0,65.8,6.34,8,2,62.5,Average
61.5,4.2,65.9,78.9,46.2,6.99,10,1,62.1,Average
73.3,1.8,57.6,61.5,71.4,6.36,7,0,60.0,Average
63.7,4.3,32.9,98.8,90.0,9.26,9,2,64.1,Average
56.6,3.6,93.6,100.0,72.2,5.38,6,0,72.3,Good
89.0,0.7,79.3,73.5,94.7,7.12,6,0,76.1,Good
100.0,2.4,76.5,66.4,91.3,7.84,9,0,69.5,Good
56.4,3.1,70.6,71.4,82.4,4.84,10,2,56.9,Average
83.9,6.8,45.9,84.7,71.2,5.81,9,0,72.2,Good
66.9,4.7,60.3,93.2,70.4,6.89,4,1,59.6,Average
69.2,1.7,81.5,82.6,82.2,5.86,6,0,68.8,Good
67.7,4.6,51.2,75.5,63.7,5.96,7,2,48.6,Poor
63.9,1.3,27.5,96.5,39.9,6.61,6,3,34.6,Poor
76.7,5.5,64.4,69.3,77.9,8.01,7,2,56.2,Average
64.4,3.0,65.7,89.5,51.9,6.62,8,2,59.8,Average
79.8,3.7,70.2,69.7,54.6,8.61,9,3,54.5,Average
75.3,5.9,79.7,80.5,70.0,5.7,10,1,78.3,Good
72.7,1.7,78.2,72.3,68.5,5.35,6,1,61.5,Average
63.3,1.6,72.1,73.2,47.4,9.8,4,3,48.4,Poor
67.9,2.9,87.1,68.3,72.6,6.18,7,0,65.1,Good
86.6,5.5,43.7,94.2,85.5,5.26,10,1,64.7,Average
83.0,1.4,76.1,63.0,51.9,4.66,6,1,57.1,Average
62.3,0.5,78.0,62.9,90.4,8.61,8,2,55.7,Average
77.4,3.1,48.2,100.0,45.0,6.62,8,2,48.9,Poor
86.5,4.7,44.0,88.7,100.0,6.74,7,2,59.1,Average
52.6,5.7,56.1,38.2,63.4,6.88,7,3,42.0,Poor
83.6,3.1,57.4,65.5,72.3,8.52,5,1,67.1,Good
66.7,3.1,80.1,46.8,39.7,6.85,2,0,63.7,Average
84.0,5.6,58.2,59.7,69.0,10.0,4,0,69.9,Good
65.3,0.8,54.3,30.0,73.7,7.29,6,1,47.3,Poor
50.7,3.2,58.2,71.9,68.6,8.59,9,1,55.3,Average
53.2,4.1,85.9,56.9,61.0,8.23,6,0,60.7,Average
76.7,4.5,68.2,74.9,54.9,7.05,5,0,70.5,Good
79.6,3.0,65.1,49.6,88.1,6.28,5,2,62.5,Average
63.3,3.9,66.2,75.2,70.5,7.56,8,0,62.5,Average
84.9,0.5,88.7,67.8,94.7,7.81,9,1,67.6,Good
52.7,2.7,56.0,96.5,61.6,6.3,9,2,50.4,Average
75.1,4.5,89.0,95.2,63.0,7.33,8,0,74.1,Good
59.0,2.2,71.4,85.8,83.0,8.83,4,1,65.8,Good
66.9,3.9,65.4,69.1,44.0,10.0,6,1,53.6,Average
76.7,4.5,99.0,100.0,50.6,8.3,10,0,80.0,Excellent
64.0,3.3,51.1,50.7,87.6,9.71,9,1,61.3,Average
70.6,4.1,62.3,52.9,51.2,6.22,3,0,56.8,Average
90.1,2.3,48.3,72.7,40.9,8.08,6,0,61.7,Average
67.9,3.5,83.2,100.0,99.9,8.97,7,0,78.9,Good
87.7,4.8,95.0,71.0,47.7,5.85,5,0,76.0,Good
60.2,4.1,94.7,71.3,72.9,6.42,2,0,62.8,Average
83.4,2.9,87.6,52.4,71.1,9.53,7,0,69.3,Good
96.2,4.2,64.8,88.2,25.0,5.73,5,2,56.1,Average
41.4,4.9,62.2,88.3,65.7,5.22,5,1,46.9,Poor
64.8,0.5,41.3,85.8,77.2,9.24,6,3,41.3,Poor
84.1,5.7,99.0,64.6,75.7,8.78,6,0,77.1,Good
73.2,3.3,75.5,63.4,84.5,7.7,6,1,67.7,Good
81.2,4.5,60.1,54.6,63.8,7.04,5,1,56.9,Average
67.5,5.7,89.2,75.3,81.4,6.49,6,0,72.1,Good
77.2,1.6,52.4,57.8,59.0,7.49,3,2,49.6,Poor
73.8,2.7,74.5,56.3,47.4,9.31,7,2,48.3,Poor
92.3,3.3,65.2,67.6,49.2,7.43,1,0,55.4,Average
79.6,2.5,78.2,66.7,46.6,10.0,6,0,63.8,Average
80.7,6.6,67.0,65.9,86.2,5.84,8,1,65.1,Good
70.2,2.4,44.8,81.0,45.8,7.07,4,1,45.4,Poor
69.2,2.9,69.2,75.2,74.4,6.58,8,0,67.4,Good
69.9,4.1,84.8,69.7,65.7,5.58,9,1,67.8,Good
81.5,1.9,67.5,76.7,68.4,6.89,1,1,61.1,Average
70.1,3.2,80.4,59.1,91.8,7.68,6,1,69.1,Good
80.1,4.3,51.3,75.6,63.0,7.83,1,2,59.1,Average
100.0,3.3,67.6,76.3,79.8,10.0,6,0,67.5,Good
88.2,3.7,58.0,51.5,70.6,7.75,6,1,62.0,Average
71.4,3.0,80.0,88.9,67.6,8.71,2,0,66.7,Good
92.8,1.4,68.5,60.8,100.0,7.19,10,0,67.9,Good
70.3,4.3,79.0,75.4,46.9,9.45,7,1,65.9,Good
47.5,6.6,85.4,91.5,90.6,10.0,5,0,72.0,Good
61.9,3.8,79.1,87.9,80.5,7.84,9,0,65.9,Good
49.8,4.2,72.4,74.5,62.3,5.71,3,0,62.2,Average
71.1,4.9,52.0,68.6,96.1,6.33,4,1,64.2,Average
76.3,1.8,68.0,88.2,40.4,7.49,2,1,55.7,Average
99.5,6.5,59.5,84.1,61.7,7.74,10,1,70.0,Good
80.6,4.1,62.5,64.7,50.7,8.08,7,1,62.6,Average
72.9,6.4,62.0,62.1,76.6,7.74,8,0,73.0,Good
87.6,2.6,52.3,42.9,52.2,7.11,7,1,53.1,Average
45.0,6.7,36.7,76.3,76.9,6.21,8,3,44.7,Poor
79.3,5.0,57.3,72.8,67.0,7.66,7,0,66.2,Good
86.8,4.7,71.1,91.0,62.3,9.7,7,1,74.0,Good
55.3,4.2,46.4,79.4,76.2,8.53,7,1,62.8,Average
92.0,3.4,68.3,94.0,65.7,7.85,5,1,66.6,Good
80.7,5.7,98.4,63.5,52.6,8.54,6,0,74.2,Good
70.2,4.0,84.4,91.1,100.0,6.58,7,2,68.4,Good
84.9,0.7,94.3,66.1,62.2,6.39,7,0,67.1,Good
100.0,2.0,74.3,85.7,34.5,6.05,4,1,58.0,Average
78.5,3.5,86.7,52.1,56.5,6.92,4,0,54.7,Average
79.5,4.3,56.4,77.5,49.7,6.51,9,1,64.2,Average
69.6,3.7,57.7,44.2,83.2,8.79,6,2,60.8,Average
64.1,5.8,25.0,70.0,75.1,6.43,8,1,53.3,Average
87.6,0.7,87.0,80.6,76.4,5.98,4,0,64.1,Average
64.0,4.0,92.6,66.2,64.1,9.82,4,0,69.2,Good
77.0,0.9,59.1,58.2,65.5,6.47,5,0,55.2,Average
69.3,5.0,63.9,86.7,64.1,7.31,6,1,67.5,Good
82.7,3.6,55.9,72.4,68.7,7.73,5,0,65.1,Good
80.7,4.5,74.1,66.7,83.4,5.51,9,0,68.8,Good
90.5,2.4,86.0,74.6,75.4,8.83,7,0,69.3,Good
68.9,5.8,40.1,100.0,78.0,7.99,10,0,73.4,Good
72.2,5.5,74.6,91.3,78.0,9.28,7,2,70.8,Good
62.3,4.7,63.6,91.4,84.2,6.15,2,2,63.0,Average
69.8,3.6,69.8,80.5,74.6,7.24,9,1,61.3,Average
81.3,4.7,75.3,76.5,75.7,7.16,3,1,73.9,Good
86.6,2.7,65.0,38.1,89.0,7.47,7,2,50.9,Average
63.1,5.2,66.3,63.8,59.4,5.06,5,0,64.0,Average
88.2,6.4,64.6,66.8,56.3,7.26,10,1,61.4,Average
95.0,5.5,83.5,45.9,51.0,5.1,9,0,67.2,Good
81.8,2.6,74.7,56.6,72.9,7.6,5,0,70.8,Good
100.0,4.4,71.5,44.3,40.3,4.12,6,0,65.3,Good
65.2,1.7,47.7,73.4,77.4,4.51,7,2,45.9,Poor
58.6,4.7,61.9,86.3,68.3,8.25,8,0,65.2,Good
51.1,4.5,82.4,90.6,88.2,6.33,7,0,71.8,Good
96.9,0.8,68.6,80.2,59.2,5.72,4,1,60.7,Average
85.2,1.9,78.6,59.5,66.7,8.88,5,0,70.4,Good
75.2,3.3,96.3,45.0,88.0,7.56,6,1,65.7,Good
79.9,3.3,84.6,47.6,92.1,8.32,9,1,62.8,Average
60.2,1.9,69.5,55.0,59.1,6.87,7,0,56.9,Average
100.0,4.4,59.8,60.7,72.9,10.0,5,0,70.0,Good
77.8,4.2,27.1,71.6,74.7,6.25,8,2,47.1,Poor
77.5,3.5,65.3,58.8,76.0,9.54,6,1,63.9,Average
86.2,2.6,62.8,79.1,65.8,7.01,8,0,65.6,Good
82.7,5.5,74.2,70.5,90.5,4.78,10,0,76.5,Good
79.1,6.4,65.5,74.2,39.8,7.78,6,0,64.5,Average
64.9,3.0,62.9,91.1,63.3,7.54,8,0,66.3,Good
82.6,2.8,39.5,56.3,77.2,5.63,5,1,48.6,Poor
100.0,4.6,53.0,80.3,77.3,5.81,6,1,64.1,Average
94.8,3.2,75.6,73.8,91.6,7.07,7,0,74.2,Good
98.3,3.6,95.5,69.0,89.2,7.59,6,0,85.9,Excellent
68.8,5.0,66.4,87.3,65.4,3.64,10,0,70.1,Good
62.1,0.7,73.2,87.2,90.8,8.57,6,0,69.6,Good
74.2,5.9,83.2,59.8,58.6,6.41,8,1,71.3,Good
76.8,3.9,55.0,71.3,84.9,5.24,3,1,72.4,Good
91.3,3.1,73.9,78.2,99.0,8.42,7,1,72.8,Good
52.3,3.7,56.2,69.9,89.4,7.07,9,2,60.1,Average
97.4,3.7,81.8,82.8,71.7,8.8,5,0,80.1,Excellent
73.8,1.0,70.4,78.2,64.7,7.71,1,0,63.5,Average
70.0,6.2,72.8,100.0,45.5,7.1,6,1,73.3,Good
61.8,3.9,55.5,51.0,75.0,6.89,7,2,49.9,Poor
52.8,4.5,79.3,72.2,52.2,7.78,8,3,50.6,Average
87.5,5.3,99.0,60.4,57.3,6.52,10,0,77.2,Good
77.0,2.2,51.9,83.1,50.9,5.91,6,1,53.2,Average
57.9,4.6,62.6,49.7,62.6,7.95,5,1,56.5,Average
57.9,3.4,71.7,79.2,69.6,6.9,4,2,60.6,Average
71.3,5.2,80.6,64.5,74.4,7.15,7,3,57.6,Average
99.4,0.5,59.0,63.0,60.4,8.63,7,1,56.9,Average
72.4,3.6,25.0,52.3,87.1,6.94,5,2,48.2,Poor
55.0,2.8,89.7,67.0,66.7,7.12,8,0,64.2,Average
72.6,4.5,80.2,90.3,57.4,6.26,7,1,59.6,Average
72.2,4.6,40.1,73.6,73.6,7.7,7,2,52.9,Average
38.2,2.7,58.3,83.4,100.0,7.59,5,2,55.7,Average
75.2,2.7,93.1,99.0,75.4,8.36,6,0,80.6,Excellent
72.8,3.6,91.2,78.0,64.2,6.29,2,0,64.4,Average
85.7,2.4,83.0,65.6,45.6,6.46,7,0,60.3,Average
100.0,5.1,65.2,81.0,66.5,8.21,7,1,71.4,Good
91.8,3.2,69.3,65.8,73.8,7.45,7,0,62.1,Average
72.2,0.5,65.9,66.4,63.8,5.83,8,1,51.7,Average
60.5,3.2,86.1,51.2,43.4,8.93,7,0,55.0,Average
100.0,2.1,54.0,87.9,56.4,4.72,6,0,68.1,Good
76.8,1.2,55.1,68.2,93.3,8.2,7,1,56.9,Average
76.2,1.8,84.2,76.7,92.9,5.33,4,0,74.4,Good
75.7,4.0,67.3,58.5,55.8,9.74,5,1,64.3,Average
78.8,5.9,90.1,80.5,80.8,4.94,7,1,71.4,Good
74.0,4.3,57.3,62.6,51.1,8.71,5,3,45.7,Poor
68.0,2.8,67.1,71.9,92.5,6.99,8,0,66.6,Good
68.3,4.5,53.2,87.2,73.9,6.59,5,2,56.8,Average
75.5,3.1,68.1,85.9,85.2,7.36,7,0,71.5,Good
68.4,2.7,44.3,73.7,42.6,7.98,7,2,44.1,Poor
66.0,2.0,60.2,47.5,80.8,5.83,8,2,52.3,Average
77.5,1.0,45.0,100.0,69.9,5.96,8,0,61.4,Average
72.4,3.2,79.1,100.0,83.6,8.01,8,0,73.7,Good
97.1,4.1,79.5,84.8,84.6,4.71,2,0,72.1,Good
38.9,3.6,40.3,62.7,71.1,6.28,9,2,43.6,Poor
91.3,3.1,89.3,72.3,60.4,10.0,10,0,72.7,Good
93.4,2.3,99.0,65.8,82.5,5.74,6,0,74.4,Good
47.0,4.8,68.7,93.0,69.0,8.71,7,1,63.7,Average
71.2,1.7,57.7,77.9,56.0,6.28,5,3,45.9,Poor
70.8,5.0,99.0,62.2,55.3,7.81,3,1,72.5,Good
56.3,2.2,46.9,66.9,46.4,8.02,5,1,46.5,Poor
65.1,2.6,68.3,90.8,61.8,8.68,5,1,64.0,Average
60.5,1.5,70.9,98.0,87.6,6.82,6,2,58.9,Average
100.0,3.0,89.5,96.9,72.8,9.88,5,1,75.6,Good
89.1,5.4,73.8,85.4,61.5,6.27,5,0,72.6,Good
93.8,4.6,60.0,70.2,82.9,7.43,6,0,71.8,Good
86.1,5.4,52.8,30.0,56.7,7.44,5,0,61.2,Average
60.2,4.6,62.5,78.5,71.5,5.53,8,1,57.1,Average
68.7,2.0,51.9,74.0,67.1,6.7,8,0,53.5,Average
82.9,3.3,68.8,76.1,82.5,7.33,10,1,69.9,Good
58.9,2.6,59.0,74.8,44.8,6.5,9,1,55.2,Average
86.0,5.9,44.1,54.1,56.4,10.0,7,1,64.0,Average
72.6,1.9,88.1,82.4,43.8,5.93,5,1,59.3,Average
70.8,5.2,60.0,83.5,65.8,8.75,7,0,71.9,Good
86.0,5.2,47.7,84.2,89.4,8.3,7,2,67.5,Good
82.2,6.7,65.3,88.2,61.9,7.08,5,2,68.1,Good
70.9,3.1,69.1,83.1,61.8,5.89,8,1,57.6,Average
92.2,4.9,40.1,67.8,83.9,6.02,4,2,54.0,Average
60.9,7.5,73.3,72.9,87.1,6.37,6,0,72.7,Good
84.6,2.8,51.2,75.4,68.6,4.6,8,2,53.8,Average
84.3,1.3,95.4,75.6,81.0,5.7,6,0,70.0,Good
71.7,0.8,76.4,89.0,52.8,5.02,6,0,53.4,Average
80.6,4.9,61.6,83.7,92.0,8.98,6,0,80.9,Excellent
58.5,0.8,56.1,100.0,100.0,7.97,5,1,59.0,Average
88.9,3.2,66.3,100.0,78.3,8.2,9,0,75.7,Good
73.4,4.5,77.8,75.2,36.7,7.92,4,1,65.0,Good
68.7,4.1,67.6,30.0,61.1,7.33,7,0,50.8,Average
90.7,4.5,64.5,92.6,79.8,9.14,7,2,66.9,Good
66.1,4.2,68.9,65.9,63.3,6.24,5,1,57.3,Average
56.3,5.8,58.3,62.0,90.4,7.25,7,0,65.6,Good
54.2,2.3,62.5,68.0,79.4,8.15,5,1,55.1,Average
84.5,2.7,34.6,67.3,58.7,5.25,9,2,53.3,Average
58.1,2.6,83.6,83.2,70.5,10.0,4,0,69.8,Good
100.0,5.1,72.8,50.6,55.7,7.14,5,0,72.7,Good
46.9,5.2,55.6,57.8,67.1,7.3,4,1,53.8,Average
99.8,4.5,98.4,79.1,61.1,8.86,4,0,74.7,Good
79.0,5.7,69.4,83.3,88.8,8.38,10,0,71.1,Good
74.6,1.9,51.4,83.6,100.0,7.15,8,1,57.1,Average
68.4,6.5,81.7,62.2,47.1,7.28,7,0,70.0,Good
81.6,6.2,74.4,59.3,39.2,4.99,5,0,65.0,Good
75.5,5.0,74.3,66.4,66.1,6.32,8,0,68.3,Good
91.4,6.7,61.2,77.6,45.7,7.82,5,0,69.5,Good
77.6,1.1,75.2,96.3,70.7,7.72,8,0,75.3,Good
78.1,3.0,63.8,43.3,82.0,8.81,5,2,52.7,Average
70.9,2.6,76.9,70.7,93.9,6.93,5,1,67.7,Good
75.2,5.0,37.5,54.0,73.2,5.16,8,2,51.3,Average
80.3,2.1,61.1,49.2,66.9,8.58,8,0,60.9,Average
52.1,5.0,95.6,88.5,38.3,9.11,8,0,74.0,Good
57.1,6.0,55.7,82.2,70.4,8.36,4,2,63.1,Average
86.4,4.9,58.3,80.7,71.1,6.87,6,1,65.1,Good
78.4,4.3,60.8,87.8,80.2,8.56,7,0,74.7,Good
73.4,2.2,48.6,66.8,58.7,10.0,5,1,55.5,Average
76.3,2.4,32.7,67.5,63.0,7.26,9,1,51.9,Average
80.9,5.8,64.3,100.0,46.4,5.26,2,2,60.4,Average
68.4,5.0,70.2,70.3,33.3,6.28,5,0,58.3,Average
65.1,3.7,67.2,85.0,52.3,7.98,5,1,58.3,Average
78.7,3.1,65.7,74.1,44.9,4.85,1,1,51.8,Average
62.3,0.6,68.7,46.3,75.4,7.34,4,3,45.9,Poor
81.7,2.1,84.4,43.3,61.7,7.63,8,1,59.8,Average
52.2,6.9,65.0,65.3,61.4,9.25,7,0,62.4,Average
90.4,1.8,58.8,89.8,54.2,8.93,10,1,60.3,Average
82.6,4.1,63.5,85.8,20.0,8.31,10,1,48.9,Poor
79.6,5.4,77.3,87.7,94.1,4.07,7,1,70.7,Good
89.8,1.8,90.6,59.2,54.0,8.39,7,1,63.9,Average
99.3,4.1,57.9,98.2,63.4,8.09,7,2,65.0,Good
90.2,5.3,69.6,59.5,46.7,7.46,1,0,72.4,Good
50.2,3.8,73.4,77.2,85.6,4.68,4,0,65.2,Good
58.1,8.4,52.1,73.8,72.3,6.01,7,2,62.3,Average
67.3,1.1,68.3,71.4,56.8,5.47,8,0,51.5,Average
76.4,5.5,44.5,94.1,63.7,4.28,7,0,63.7,Average
83.2,3.5,39.7,63.4,96.9,7.1,5,1,58.3,Average
65.8,5.0,73.9,53.8,68.8,5.98,8,1,58.6,Average
78.6,4.5,61.9,74.3,67.1,10.0,9,0,67.7,Good
65.4,2.6,71.2,68.0,54.9,6.86,8,1,50.3,Average
67.4,4.2,67.7,100.0,39.7,8.91,8,0,62.5,Average
56.3,0.8,52.4,84.1,67.4,4.9,5,0,55.8,Average
63.1,4.8,67.3,67.9,75.2,6.36,9,0,66.2,Good
57.1,4.3,48.3,58.2,87.6,7.24,7,0,59.1,Average
62.3,4.8,90.3,45.8,34.0,5.83,8,1,57.1,Average
90.8,5.5,46.3,58.6,52.0,6.51,7,2,59.3,Average
62.7,4.4,64.9,75.7,60.7,6.79,6,1,59.3,Average
100.0,4.0,51.3,95.4,69.9,6.77,5,0,72.7,Good
82.9,2.4,77.1,90.8,67.7,9.7,6,0,68.8,Good
78.6,2.7,62.7,77.4,68.1,7.63,8,0,63.5,Average
64.0,5.7,59.7,69.2,76.5,7.77,6,0,68.4,Good
85.8,6.1,81.7,78.0,55.5,7.86,8,0,82.5,Excellent
67.9,3.4,68.5,66.2,84.9,7.96,8,1,68.5,Good
77.7,3.9,76.3,99.8,76.9,6.98,6,0,76.0,Good
100.0,2.4,52.3,71.2,64.9,6.65,9,0,65.8,Good
74.7,5.7,45.5,72.7,95.6,7.33,6,3,62.3,Average
92.1,4.9,69.7,40.8,94.9,8.72,10,0,77.6,Good
66.2,6.9,62.9,71.1,84.9,8.68,7,2,57.3,Average
75.5,2.4,78.0,86.5,21.7,6.76,6,3,44.5,Poor
100.0,3.2,66.7,58.0,95.3,8.17,5,0,73.8,Good
67.2,4.2,71.3,62.7,82.7,6.83,6,0,60.7,Average
100.0,4.8,42.0,85.9,100.0,7.15,6,2,63.3,Average
85.9,3.5,98.2,51.9,89.8,6.44,4,0,71.3,Good
68.1,2.4,65.4,89.9,95.3,6.85,6,0,67.3,Good
84.9,5.2,79.2,66.0,84.1,8.98,5,1,71.1,Good
89.6,5.0,54.6,68.2,91.6,7.23,8,1,67.5,Good
84.7,2.3,72.9,57.1,100.0,7.29,9,0,73.6,Good
54.0,6.0,47.2,79.7,73.5,5.07,4,2,52.1,Average
65.8,5.7,75.2,100.0,44.8,6.67,10,1,65.6,Good
72.5,4.0,62.3,85.7,65.1,6.76,6,0,61.2,Average
75.0,3.9,68.5,61.0,76.2,5.94,5,0,68.5,Good
84.7,4.7,79.2,91.0,71.2,7.13,8,0,73.9,Good
78.5,2.4,48.3,69.2,50.1,6.5,6,1,48.3,Poor
57.3,3.8,57.0,94.6,43.9,7.21,6,2,52.3,Average
81.3,0.5,75.3,86.1,58.1,7.27,6,1,56.6,Average
84.5,5.2,99.0,30.0,82.9,5.76,5,0,70.7,Good
83.8,1.3,65.8,58.9,95.3,6.54,8,0,66.5,Good
91.1,6.2,77.5,88.2,84.7,7.21,6,0,79.9,Good
87.7,3.3,66.3,76.3,86.9,8.76,4,0,79.6,Good
82.4,3.5,99.0,58.6,68.7,7.46,8,0,73.0,Good
75.0,2.8,40.0,64.5,42.1,6.17,4,0,53.5,Average
52.7,3.3,69.5,45.4,62.7,7.66,4,1,45.4,Poor
82.0,6.1,42.0,72.7,65.9,9.49,9,0,66.0,Good
78.9,0.5,27.9,100.0,62.0,8.38,4,2,43.3,Poor
79.8,5.8,72.8,86.1,70.9,7.87,2,1,66.0,Good
